date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
21JUL2006,mret,-1.041690175,-0.554956246,-0.66403794,-1.450417132,-1.489168354,-0.447478179
24JUL2006,mret,1.5713926851,1.4479267206,1.5416610936,2.1946353165,2.4349975461,0.863604861
25JUL2006,mret,0.6272070481,0.5631723398,0.5717731493,1.1505663651,1.3480728557,0.7208658076
26JUL2006,mret,-0.870755707,0.0205335243,-0.097995203,0.1689109924,-0.224733115,0.6460225923
27JUL2006,mret,-1.345601395,-0.202299368,-0.478118903,-0.636724026,-0.462154916,0.8834464788
28JUL2006,mret,0.8860434981,1.3049588355,1.2820205676,1.0400651836,1.3300395424,0.4439960443
31JUL2006,mret,-0.050551145,-0.288129359,-0.03385771,0.2151539512,0.2085870733,0.2591382188
01AUG2006,mret,-0.491049022,-0.274696136,-0.213774827,-0.656354754,-0.44282739,0.0482216317
02AUG2006,mret,0.8061843877,0.5176045922,0.5294553586,0.6171715383,1.0590268124,0.2528424247
03AUG2006,mret,0.3423583658,0.1332315249,-0.011381352,0.5237985098,0.2739820404,-0.068376325
04AUG2006,mret,-0.052838429,0.0202462426,-0.01518743,-0.014699989,-0.488127469,-0.43528904
07AUG2006,mret,-0.420472376,-0.277586631,-0.105467201,-0.422898607,-0.234042777,0.1864295995
08AUG2006,mret,-0.123105425,-0.191887999,-0.29311686,-0.472275829,-1.027812835,-0.90470741
09AUG2006,mret,-0.872713015,-0.587525673,-0.672612456,-0.565365865,-0.46441419,0.4082988257
10AUG2006,mret,0.5848897419,0.470291058,0.3712712796,0.6197754711,0.6169040272,0.0320142853
11AUG2006,mret,-0.768376603,-0.438742459,-0.1648478,-0.326450516,-0.875600532,-0.107223929
14AUG2006,mret,0.203823855,0.1654975788,-0.044467034,-0.221762169,-0.059660589,-0.263484444
15AUG2006,mret,1.4636256596,1.2942642763,1.06897774,1.6587562533,1.1528558168,-0.310769843
16AUG2006,mret,1.0716574914,0.7001442328,0.505344516,1.0465431234,0.9461849859,-0.125472506
17AUG2006,mret,0.163052557,0.2293467102,0.2542563618,0.0717459739,-0.40649276,-0.569545317
18AUG2006,mret,0.1164178265,0.3310456657,0.417381996,0.2355157205,0.4136821018,0.2972642753
21AUG2006,mret,-0.622883383,-0.324470215,-0.26305152,-0.477379711,-0.478725412,0.1441579711
22AUG2006,mret,0.170895775,0.0430281572,0.1206178852,0.1128530168,0.0536329118,-0.117262863
23AUG2006,mret,-0.5460853,-0.28824333,-0.494121942,-0.718889412,-0.622955159,-0.076869859
24AUG2006,mret,0.0919093707,0.3340756201,0.3836039898,-0.083673635,-0.254848292,-0.346757663
25AUG2006,mret,-0.170414338,-0.126177783,-0.174016395,-0.172703337,0.43254329,0.6029576281
