"","year","month","observation_date","GDPC1","GDPchange_annual","INDPRO","INDPROchange_annual","T10Y3M","UNRATE","UNRATEchange_annual","CPIAUCSL","CPIchange_annual","vix","HedgingPressure"
"164","1995","08",1995-08-01,10671.738,0.0267310685558007,72.6863,0.0457346987514998,0.83,5.7,-0.3,152.9,0.0261744966442953,12.7982608695652,-0.00990273024971289
"165","1995","09",1995-09-01,10671.738,0.0267310685558007,72.989,0.0467314112639538,0.77,5.6,-0.300000000000001,153.1,0.0254521098459476,12.057,-0.068053226399588
"166","1995","10",1995-10-01,10744.203,0.0219957990906844,72.8743,0.0370111592722141,0.55,5.5,-0.3,153.5,0.0274431057563587,14.3572727272727,0.00476784857993434
"167","1995","11",1995-11-01,10744.203,0.0219957990906844,73.0432,0.0324550405599663,0.28,5.6,0,153.7,0.0260347129506006,12.4690476190476,-0.0793405613332023
"168","1995","12",1995-12-01,10744.203,0.0219957990906844,73.3148,0.0258796926620333,0.48,5.6,0.0999999999999996,153.9,0.0253164556962026,11.7485,-0.125415450984879
"169","1996","01",1996-01-01,10824.674,0.0260110399269174,72.9017,0.0183607986332772,0.55,5.6,0,154.7,0.027906976744186,13.4736363636364,-0.0272857144733896
"170","1996","02",1996-02-01,10824.674,0.0260110399269174,73.955,0.0345859907362202,1.11,5.5,0.0999999999999996,155,0.027170311464546,15.033,0.00239804819606187
"171","1996","03",1996-03-01,10824.674,0.0260110399269174,73.8546,0.0315435735416127,1.21,5.5,0.0999999999999996,155.5,0.0284391534391535,17.762380952381,-0.0377196974854445
"172","1996","04",1996-04-01,11005.217,0.0400212706380616,74.6152,0.0436582701461244,1.52,5.6,-0.2,156.1,0.0283267457180499,16.5752380952381,-0.0368723008100867
"173","1996","05",1996-05-01,11005.217,0.0400212706380616,75.15,0.0463003571204812,1.67,5.6,0,156.4,0.0282708744247207,16.1463636363636,-0.00702751691269998
"174","1996","06",1996-06-01,11005.217,0.0400212706380616,75.719,0.050810669782688,1.55,5.3,-0.3,156.7,0.0282152230971127,16.395,-0.00541577434322238
"175","1996","07",1996-07-01,11103.935,0.0404992139049891,75.7189,0.0554318872739997,1.48,5.5,-0.2,157,0.0288335517693316,17.9786363636364,-0.0550936837478052
"176","1996","08",1996-08-01,11103.935,0.0404992139049891,76.0875,0.0467928619285891,1.67,5.1,-0.600000000000001,157.2,0.02812295618051,15.7604545454545,-0.0612574221027045
"177","1996","09",1996-09-01,11103.935,0.0404992139049891,76.5959,0.0494170354436969,1.58,5.2,-0.399999999999999,157.7,0.0300457217504898,16.578,-0.0498457009364445
"178","1996","10",1996-10-01,11219.238,0.0442131445208174,76.5662,0.050661207037323,1.2,5.2,-0.3,158.2,0.0306188925081432,16.3817391304348,-0.0476379732985108
"179","1996","11",1996-11-01,11219.238,0.0442131445208174,77.2493,0.0575837312713573,0.93,5.4,-0.199999999999999,158.7,0.0325309043591412,15.997,-0.0016387489610627
"180","1996","12",1996-12-01,11219.238,0.0442131445208174,77.7342,0.0602797797988946,1.22,5.4,-0.199999999999999,159.1,0.0337881741390513,19.2609523809524,-0.012111010497163
"181","1997","01",1997-01-01,11291.665,0.0431413454114184,77.8711,0.0681657629383127,1.38,5.3,-0.3,159.4,0.0303813833225599,19.4733333333333,-0.0222412756905335
"182","1997","02",1997-02-01,11291.665,0.0431413454114184,78.7993,0.0655033466297073,1.34,5.2,-0.3,159.7,0.0303225806451612,20.1394736842105,0.0581669055656484
"183","1997","03",1997-03-01,11291.665,0.0431413454114184,79.2746,0.073387439644924,1.57,5.2,-0.3,159.8,0.0276527331189711,20.17,0.0504562840744211
"184","1997","04",1997-04-01,11479.33,0.0430807497934843,79.3464,0.0634079919372997,1.44,5.1,-0.5,159.9,0.0243433696348495,19.6622727272727,0.0346568272520622
"185","1997","05",1997-05-01,11479.33,0.0430807497934843,79.773,0.0615169660678641,1.71,4.9,-0.699999999999999,159.9,0.0223785166240409,19.9247619047619,-0.0473305756210306
"186","1997","06",1997-06-01,11479.33,0.0430807497934843,80.1365,0.0583407070880493,1.26,5,-0.3,160.2,0.0223356732610083,20.1942857142857,0.034267467288035
"187","1997","07",1997-07-01,11622.911,0.0467380257539332,80.7798,0.0668380021368508,0.77,4.9,-0.6,160.4,0.021656050955414,20.5290909090909,0.0282965350834389
"188","1997","08",1997-08-01,11622.911,0.0467380257539332,81.6119,0.0726058813865615,1.1,4.8,-0.3,160.8,0.0229007633587788,23.0847619047619,-0.0207909420794192
"189","1997","09",1997-09-01,11622.911,0.0467380257539332,82.4022,0.0758043185079096,1.06,4.9,-0.3,161.2,0.0221940393151554,23.812380952381,0.00308618482570965
"190","1997","10",1997-10-01,11722.722,0.0448768445771451,83.1064,0.0854188924094444,0.63,4.7,-0.5,161.5,0.0208596713021493,23.8708695652174,-0.0850992233049244
"191","1997","11",1997-11-01,11722.722,0.0448768445771451,83.7534,0.0841962321988677,0.64,4.6,-0.800000000000001,161.7,0.0189035916824197,32.2061111111111,0.0212512435308732
"192","1997","12",1997-12-01,11722.722,0.0448768445771451,84.1331,0.0823176928559115,0.39,4.7,-0.7,161.8,0.0169704588309241,26.2763636363636,0.1492880436879
"193","1998","01",1998-01-01,11839.876,0.0485500588265769,84.5113,0.0852716861582796,0.34,4.6,-0.7,162,0.0163111668757842,23.8665,0.132016336143009
"194","1998","02",1998-02-01,11839.876,0.0485500588265769,84.6409,0.074132638234096,0.3,4.6,-0.600000000000001,162,0.0144020037570445,19.9989473684211,0.0397748051041837
"195","1998","03",1998-03-01,11839.876,0.0485500588265769,84.6684,0.0680394476919467,0.51,4.7,-0.5,162,0.013767209011264,20.1586363636364,0.0110964561257229
"196","1998","04",1998-04-01,11949.492,0.0409572684120066,84.9827,0.071034098585443,0.68,4.3,-0.8,162.2,0.014383989993746,22.0285714285714,-0.0173558637028409
"197","1998","05",1998-05-01,11949.492,0.0409572684120066,85.5129,0.0719529164002859,0.53,4.4,-0.5,162.6,0.0168855534709193,20.874,0.0219470608610398
"198","1998","06",1998-06-01,11949.492,0.0409572684120066,84.998,0.0606652399343621,0.34,4.5,-0.5,162.8,0.0162297128589265,21.6627272727273,0.0350401114209552
"199","1998","07",1998-07-01,12099.191,0.0409776862267981,84.6664,0.0481135135268966,0.4,4.5,-0.4,163.2,0.0174563591022443,19.93,0.0104607807454037
